experiment_id,timestamp,record_type,fold,git_commit,git_dirty,source_tree_sha256,source_manifest_path,config_path,config_sha256,feature_version,feature_manifest_sha256,model,model_params,train_period,val_period,seed,ic_mean,ic_std,icir,ic_positive_ratio,annual_excess,top1_annual_ret,mean_turnover,final_score,final_score_std,final_score_worst,artifact_manifest_path,artifact_manifest_sha256,artifact_paths,notes,record_sha256
p08_simple_factor_v1,2026-09-09T16:45:44+08:00,fold,fold_2022,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,simple_factor,"{""direction"":1.0,""feature"":""ret_20__rank""}",not_applicable,20220104-20221230,42,-0.035207036665249485,0.16488815359031306,-0.21352071630765018,0.4090909090909091,-0.7583708167076111,-0.8894990086555481,0.3713816641169673,-0.053008570834402274,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2022\\simple_factor_oof.parquet""]",full_validation_universe_float32_oof,E1126FB28A8E1115797F8AD29AC35B9014E5795062BCA2723C219CF794BB879A
p08_simple_factor_v1,2026-09-09T16:45:44+08:00,fold,fold_2023,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,simple_factor,"{""direction"":1.0,""feature"":""ret_20__rank""}",not_applicable,20230103-20231229,42,-0.03674183884560157,0.14253900759970395,-0.2577669051042129,0.40082644628099173,-0.6047443151473999,-0.5853210091590881,0.3558544183128769,-0.0028763674972526465,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2023\\simple_factor_oof.parquet""]",full_validation_universe_float32_oof,76C3B472DB6FE209E5C86FC88C255D68A3E06FB99CB0EC9BB1A0AF56FA694AEF
p08_simple_factor_v1,2026-09-09T16:45:44+08:00,fold,fold_2024,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,simple_factor,"{""direction"":1.0,""feature"":""ret_20__rank""}",not_applicable,20240102-20241231,42,-0.04021135075451836,0.221165758053414,-0.18181544515949374,0.4297520661157025,-0.8441057205200195,-0.8581503033638,0.37597479019079894,-0.08210871139644632,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2024\\simple_factor_oof.parquet""]",full_validation_universe_float32_oof,FD2BA572158DE0E15B0A945EDAB2530787D57E5AAE2CE0B40FF7CB72E0829C0E
p08_simple_factor_v1,2026-09-09T16:45:44+08:00,summary,all_equal_weight,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,simple_factor,"{""direction"":1.0,""feature"":""ret_20__rank""}",three_expanding_folds,2022|2023|2024,42,-0.03738674208845647,0.17619763974781033,-0.2177010221904523,0.4132231404958677,-0.7357402841250101,-0.7776567737261454,0.36773695754021435,-0.04599788324270041,0.04007871486614004,-0.08210871139644632,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines"",""D:\\codex\\fintechathon2026\\reports\\tables\\phase8_baseline_audit.json""]",equal_weight_fold_summary_not_concatenated_turnover,0670545DB3F773F689C7554481B49E3DB8671397BF89FD97F857D965036C9DDD
p08_ridge_v1,2026-09-09T16:45:44+08:00,fold,fold_2022,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,ridge,"{""alpha"":100.0,""feature_group"":""cross_zscore""}",20180102-20211230,20220104-20221230,42,0.050668952739974474,0.08712818469492017,0.5815449147413331,0.731404958677686,0.02909437194466591,-0.1020338386297226,0.8817300255089159,0.06447688577177285,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2022\\ridge_oof.parquet"",""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2022\\ridge_model.npz""]",full_validation_universe_float32_oof,A254558FEC9E5AD1192648E5A3A3C663345398235D76FDB4AC2B40A75BCD8060
p08_ridge_v1,2026-09-09T16:45:44+08:00,fold,fold_2023,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,ridge,"{""alpha"":100.0,""feature_group"":""cross_zscore""}",20180102-20221229,20230103-20231229,42,0.05656761619218586,0.08954175761101282,0.6317456536639231,0.7272727272727273,0.06933724135160446,0.08876046538352966,0.8718600914896221,0.08187019255305615,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2023\\ridge_oof.parquet"",""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2023\\ridge_model.npz""]",full_validation_universe_float32_oof,561671FC0DDE66EBE4438AFD3FED8AE134E9627BD19FA0DCC4F114FB0D04807E
p08_ridge_v1,2026-09-09T16:45:44+08:00,fold,fold_2024,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,ridge,"{""alpha"":100.0,""feature_group"":""cross_zscore""}",20180102-20231228,20240102-20241231,42,0.07532041957574422,0.14568456325738266,0.5170102987690929,0.7355371900826446,0.24692940711975098,0.23288482427597046,0.8748837141729432,0.1417418816748045,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2024\\ridge_oof.parquet"",""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2024\\ridge_model.npz""]",full_validation_universe_float32_oof,F374C19E9B5EE4BFE5FDFD9285D8DE417DCAFAA27170AFA6F671C00822DCF80B
p08_ridge_v1,2026-09-09T16:45:44+08:00,summary,all_equal_weight,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,ridge,"{""alpha"":100.0,""feature_group"":""cross_zscore""}",three_expanding_folds,2022|2023|2024,42,0.06085232950263484,0.10745150185443857,0.576766955724783,0.731404958677686,0.11512034013867378,0.07320381700992584,0.876157943723827,0.09602965333321117,0.040531933646970705,0.06447688577177285,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines"",""D:\\codex\\fintechathon2026\\reports\\tables\\phase8_baseline_audit.json""]",equal_weight_fold_summary_not_concatenated_turnover,7959B6123284987B779CEECAD74E41779A9D10021247D9E9C6D1BE5D27278294
p08_lightgbm_v1,2026-09-09T16:45:44+08:00,fold,fold_2022,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,lightgbm,"{""feature_groups"":[""cross_rank"",""market""],""num_boost_round"":100,""params"":{""bagging_fraction"":0.8,""bagging_freq"":1,""bagging_seed"":42,""data_random_seed"":42,""deterministic"":true,""feature_fraction"":0.8,""feature_fraction_seed"":42,""force_col_wise"":true,""learning_rate"":0.05,""max_bin"":63,""min_data_in_leaf"":1000,""num_leaves"":31,""num_threads"":4,""objective"":""regression"",""seed"":42,""verbosity"":-1}}",20180102-20211230,20220104-20221230,42,0.0793538502586016,0.08017017535025912,0.9898175962807735,0.8677685950413223,0.15561863780021667,0.024490412324666977,0.23260503031818433,0.3086456223480503,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2022\\lightgbm_oof.parquet"",""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2022\\lightgbm_model.txt""]",full_validation_universe_float32_oof,2E157C648D46661F172FFA2B0E27519FE905D929F1DED98662D1A612FF73AA7E
p08_lightgbm_v1,2026-09-09T16:45:44+08:00,fold,fold_2023,UNBORN,True,FDC0473C9D9EFD3F93B77EBF27768082E14BA0ED0AE893DCB562981E8051F41C,D:\codex\fintechathon2026\experiments\manifests\source_FDC0473C9D9E.json,D:\codex\fintechathon2026\experiments\configs\phase8_baselines_3A5057772EB5.yaml,3A5057772EB547038E4C54198A251F343F1E5F3BFE882110F3A8A3C0C5E19795,model_view_v1,CF63C23452EABD75A0D350C573267F04BC10EDE94901F07BB415A9C0BAE8B685,lightgbm,"{""feature_groups"":[""cross_rank"",""market""],""num_boost_round"":100,""params"":{""bagging_fraction"":0.8,""bagging_freq"":1,""bagging_seed"":42,""data_random_seed"":42,""deterministic"":true,""feature_fraction"":0.8,""feature_fraction_seed"":42,""force_col_wise"":true,""learning_rate"":0.05,""max_bin"":63,""min_data_in_leaf"":1000,""num_leaves"":31,""num_threads"":4,""objective"":""regression"",""seed"":42,""verbosity"":-1}}",20180102-20221229,20230103-20231229,42,0.07966643230485329,0.08929297553436216,0.8921914834632839,0.8553719008264463,0.1802353709936142,0.19965860247612,0.5242034242367865,0.22867615992922186,,,D:\codex\fintechathon2026\experiments\manifests\phase8_artifacts_3B12D1486C7C.json,3B12D1486C7C44FA30B3D4EFE7085C1AFA4F8BD396D5335C4275D20D8682DEDE,"[""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2023\\lightgbm_oof.parquet"",""D:\\codex\\fintechathon2026\\models\\phase8_baselines\\fold_2023\\lightgbm_model.txt""]",full_validation_universe_float32_oof,4C36D91F90D5F4C6DA617F141D73E3FC0AED1B27CB7FBC09B293426D5BA738EE
